State,urban_perc_state,County,percentage20_Donald_Trump,percentage20_Joe_Biden,avg_sal_2022,white_perc,baa_perc,asian_perc,native_perc,pi_perc,his_perc,AQI,CO_perc,NO2_perc,O3_perc,PM2.5_perc,PM10_perc
Kansas,0.723,Sherman,0.831,0.144,51638.0,0.9687821612349914,0.0274442538593482,0.0132075471698113,0.01852487135506,0.0089193825042881,0.1331046312178387,15,0.0,0.0,0.0,0.0,1.0
Kansas,0.723,Sumner,0.742,0.237,45475.0,0.9629777955769144,0.0259422418012726,0.0103234993102834,0.0293240777822275,0.0012459395719307,0.0629199483825034,43,0.0,0.005524861878453,0.5414364640883977,0.3701657458563536,0.0828729281767955
Kansas,0.723,Trego,0.837,0.148,53707.0,0.982921511627907,0.0152616279069767,0.0090843023255813,0.0112645348837209,0.0010901162790697,0.0308866279069767,38,0.0,0.0,0.8,0.1257142857142857,0.0742857142857142
Kansas,0.723,Wyandotte,0.336,0.645,38253.0,0.7001013599121547,0.2419424903165083,0.062782812254896,0.0277955425771964,0.0062444945881046,0.3127797955908438,44,0.0054945054945054,0.0219780219780219,0.3406593406593406,0.6318681318681318,0.0
Kentucky,0.5870000000000001,Bell,0.81,0.178,39665.0,0.9614731839782756,0.0382722335369993,0.0064494229463679,0.0137050237610319,0.0021639511201629,0.014468771215207,44,0.0,0.0,0.4640883977900552,0.5359116022099447,0.0
Kentucky,0.5870000000000001,Boone,0.669,0.312,58730.0,0.9173933986613272,0.0620232506308728,0.0336537424600806,0.0081096820113161,0.0032927609584953,0.0485214928141603,44,0.0,0.0,1.0,0.0,0.0
Kentucky,0.5870000000000001,Boyd,0.658,0.326,45945.0,0.9594055289960508,0.0396175431303263,0.0088962793598004,0.0092704219496986,0.0007898565786738,0.0208688422365412,40,0.0,0.0271739130434782,0.5434782608695652,0.3967391304347826,0.0326086956521739
Kentucky,0.5870000000000001,Bullitt,0.732,0.251,51198.0,0.9690824943938166,0.0257765160551553,0.0112958633522591,0.0109499499021899,0.0016579989503315,0.0309413617061882,43,0.0,0.0,1.0,0.0,0.0
Kentucky,0.5870000000000001,Campbell,0.583,0.397,61635.0,0.9539442658092177,0.0417792068595927,0.0153912111468381,0.0074598070739549,0.0012111468381564,0.0240300107181136,39,0.0,0.0,0.5520833333333334,0.4479166666666667,0.0
Kentucky,0.5870000000000001,Carter,0.757,0.228,38473.0,0.985110816442508,0.0120856222769463,0.0043568857738207,0.0082212540253835,0.0006440613752604,0.0150407274104944,38,0.0,0.0,0.5714285714285714,0.4010989010989011,0.0274725274725274
Kentucky,0.5870000000000001,Christian,0.632,0.348,42881.0,0.7528923696208771,0.2411654366964689,0.0251105604008926,0.0168133959499979,0.0069964538521571,0.0878732697126114,42,0.0,0.0,0.4475138121546961,0.5524861878453039,0.0
Kentucky,0.5870000000000001,Daviess,0.63,0.351,49179.0,0.9220224370773672,0.0695878785530216,0.0256146945418612,0.0052701943384162,0.0020053864486252,0.0357481932146247,42,0.0,0.011049723756906,0.5303867403314917,0.4585635359116022,0.0
Kentucky,0.5870000000000001,Edmonson,0.787,0.2,39810.0,0.9806015160159752,0.0162197408101719,0.0070095362295215,0.0108403292851903,0.0013040997636319,0.0177683592794848,39,0.028169014084507,0.0,0.971830985915493,0.0,0.0
Kentucky,0.5870000000000001,Fayette,0.385,0.593,59641.0,0.7885823809806242,0.1811129806116492,0.052649158568677,0.0087654949164499,0.0020103200591858,0.0758490012392811,41,0.0,0.0376344086021505,0.532258064516129,0.4032258064516129,0.0268817204301075
Kentucky,0.5870000000000001,Greenup,0.719,0.268,47623.0,0.978109199785329,0.0160155918989916,0.0090670282179476,0.0107053074598197,0.001553540660396,0.0130214953535011,40,0.0,0.0,1.0,0.0,0.0
Kentucky,0.5870000000000001,Hancock,0.686,0.295,53953.0,0.978494623655914,0.0211728189779403,0.0049883604921849,0.0075379669659682,0.0002217049107637,0.0179580977718656,43,0.0,0.0,1.0,0.0,0.0
Kentucky,0.5870000000000001,Hardin,0.61,0.37,52724.0,0.8409468809783484,0.1478428778316139,0.0358209222077202,0.0142497005238597,0.0070801523305501,0.0630151436591514,42,0.0,0.0,0.4918032786885246,0.5081967213114754,0.0
