County,2020,2021,2022
Hamilton,"31,555","34,651","34,058"
Hardee,"32,291","35,471","34,968"
Hendry,"37,468","40,430","39,249"
Hernando,"42,700","46,140","46,591"
Highlands,"38,713","41,693","41,845"
Hillsborough,"53,144","57,905","59,515"
Holmes,"34,977","38,501","38,620"
Indian River,"87,110","99,515","105,250"
Jackson,"37,783","40,603","39,669"
Jefferson,"46,583","49,818","49,315"
Lafayette,"29,153","32,174","33,903"
Lake,"45,699","51,068","52,291"
Lee,"58,139","62,783","63,568"
Leon,"49,155","53,844","54,244"
Levy,"41,033","44,156","43,873"
Liberty,"31,331","34,917","32,522"
Madison,"37,897","39,977","40,728"
Manatee,"53,842","58,861","59,691"
Marion,"40,896","45,009","44,521"
Martin,"97,665","103,621","110,336"
Miami-Dade,"56,235","65,948","68,481"
Monroe,"94,837","109,873","119,138"
Nassau,"66,135","73,137","76,442"
Okaloosa,"53,709","59,322","59,966"
Okeechobee,"35,817","39,219","40,502"
Orange,"48,829","54,726","55,374"
Osceola,"39,272","44,013","44,344"
Palm Beach,"92,202","103,295","109,055"
Pasco,"46,646","51,365","52,601"
Pinellas,"60,721","66,415","68,642"
Polk,"40,807","43,915","43,223"
Putnam,"37,372","39,668","39,440"
St. Johns,"76,091","83,355","88,388"
St. Lucie,"45,416","50,856","52,363"
Santa Rosa,"50,522","55,715","57,440"
Sarasota,"74,102","81,954","84,035"
Seminole,"52,928","58,147","59,581"
Sumter,"59,621","68,524","69,224"
Suwannee,"37,672","40,868","41,655"
Taylor,"34,114","37,863","37,025"
Union,"24,472","26,152","26,536"
Volusia,"47,861","52,364","53,559"
Wakulla,"41,790","46,941","47,779"
Walton,"73,458","84,975","88,228"
Washington,"33,893","37,271","36,329"
,,,
Georgia,"51,469","56,184","56,589"
Appling,"39,134","42,693","43,602"
Atkinson,"32,289","35,210","36,622"
Bacon,"37,448","39,057","39,972"
Baker,"45,061","50,236","49,696"
Baldwin,"37,644","42,144","42,270"
Banks,"39,236","42,335","45,056"
Barrow,"41,874","45,781","46,980"
Bartow,"43,677","47,617","48,565"
Ben Hill,"35,045","39,215","38,598"
Berrien,"37,707","39,785","39,871"
Bibb,"43,114","47,550","46,196"
Bleckley,"39,434","42,520","41,038"
Brantley,"32,305","35,115","34,896"
Brooks,"37,748","40,041","39,500"
Bryan,"51,941","56,017","57,520"
Bulloch,"35,955","39,375","38,397"
Burke,"39,461","41,852","40,590"
Butts,"37,629","41,252","41,635"
Calhoun,"32,097","35,219","33,901"
Camden,"39,770","43,831","43,622"
Candler,"36,647","40,602","40,614"
Carroll,"44,781","49,127","50,475"
Catoosa,"38,879","42,150","42,316"
Charlton,"29,050","30,915","31,382"
Chatham,"51,366","56,848","56,682"
Chattahoochee,"34,644","38,530","36,305"
Chattooga,"33,447","36,991","37,055"
Cherokee,"57,355","63,168","66,230"
Clarke,"37,715","40,910","40,970"
Clay,"39,165","39,388","36,851"
Clayton,"31,757","34,575","32,831"
Clinch,"41,018","41,910","41,712"
Cobb,"62,551","68,273","69,932"
Coffee,"35,602","40,811","38,972"
Colquitt,"37,726","41,085","41,164"
Columbia,"55,580","58,773","58,889"
Cook,"36,499","39,968","38,956"
Coweta,"53,350","57,721","59,967"
Crawford,"37,331","40,216","40,218"
Crisp,"41,968","45,832","44,582"
Dade,"37,930","40,794","41,920"
Dawson,"51,885","57,898","61,067"
Decatur,"37,647","42,311","41,224"
DeKalb,"55,996","62,588","62,632"
Dodge,"34,673","37,790","36,210"
