County,2020,2021,2022
Choctaw,"37,326","41,068","39,459"
Cimarron,"64,058","71,759","71,787"
Cleveland,"47,444","51,166","51,743"
Coal,"40,681","43,400","42,808"
Comanche,"45,564","48,279","47,704"
Cotton,"48,451","50,941","48,052"
Craig,"41,100","43,402","43,647"
Creek,"45,104","48,316","48,223"
Custer,"42,845","47,447","47,387"
Delaware,"38,206","42,227","43,684"
Dewey,"51,744","49,183","50,032"
Ellis,"54,313","58,132","60,331"
Garfield,"44,544","49,013","48,872"
Garvin,"47,109","49,826","49,595"
Grady,"44,774","48,189","48,140"
Grant,"53,750","58,958","49,570"
Greer,"33,404","35,233","34,048"
Harmon,"46,180","50,094","47,775"
Harper,"55,270","60,361","64,863"
Haskell,"38,333","42,905","44,146"
Hughes,"40,693","49,198","46,820"
Jackson,"45,407","49,245","48,893"
Jefferson,"40,267","40,166","40,832"
Johnston,"41,626","44,844","45,453"
Kay,"45,376","48,760","48,422"
Kingfisher,"61,983","70,770","71,911"
Kiowa,"42,794","45,629","44,612"
Latimer,"37,746","39,758","39,157"
Le Flore,"36,610","40,215","41,452"
Lincoln,"42,441","46,021","45,402"
Logan,"45,482","48,345","48,476"
Love,"41,656","43,816","43,362"
McClain,"49,755","53,986","56,086"
McCurtain,"38,429","43,249","43,860"
McIntosh,"40,525","42,846","42,837"
Major,"43,642","48,584","46,530"
Marshall,"41,383","44,512","44,911"
Mayes,"42,065","45,371","44,793"
Murray,"45,891","49,163","49,714"
Muskogee,"42,004","44,821","44,727"
Noble,"47,929","50,424","48,939"
Nowata,"42,499","44,261","44,176"
Okfuskee,"35,328","38,380","38,363"
Oklahoma,"58,719","65,617","68,047"
Okmulgee,"39,701","42,620","42,614"
Osage,"39,512","44,067","43,479"
Ottawa,"42,533","46,630","46,364"
Pawnee,"40,070","43,340","43,482"
Payne,"41,494","45,036","45,416"
Pittsburg,"40,517","42,848","42,484"
Pontotoc,"48,461","52,269","53,000"
Pottawatomie,"43,216","49,898","47,587"
Pushmataha,"37,176","40,578","39,279"
Roger Mills,"47,751","49,548","47,155"
Rogers,"50,088","52,873","52,850"
Seminole,"38,717","42,336","43,154"
Sequoyah,"39,333","43,237","43,697"
Stephens,"45,580","48,378","48,653"
Texas,"50,690","61,867","60,450"
Tillman,"37,561","40,917","34,298"
Tulsa,"61,416","67,314","70,064"
Wagoner,"46,103","49,178","49,774"
Washington,"63,280","83,921","96,408"
Washita,"38,351","41,297","40,073"
Woods,"45,365","49,285","47,818"
Woodward,"39,134","42,308","40,488"
,,,
Oregon,"56,507","61,646","62,303"
Baker,"44,785","48,153","48,666"
Benton,"49,990","54,622","55,325"
Clackamas,"64,848","71,666","73,129"
Clatsop,"49,704","54,109","53,788"
Columbia,"49,675","53,365","53,724"
Coos,"50,770","54,462","54,330"
Crook,"46,970","51,877","51,931"
Curry,"47,940","52,039","51,950"
Deschutes,"64,080","70,161","71,627"
Douglas,"46,163","50,343","49,440"
Gilliam,"63,667","63,173","69,112"
Grant,"47,688","50,829","51,240"
Harney,"44,506","49,214","50,016"
Hood River,"59,611","65,658","64,748"
Jackson,"51,850","56,928","57,552"
Jefferson,"40,259","43,768","43,354"
Josephine,"47,955","51,979","52,166"
Klamath,"43,406","47,364","47,244"
Lake,"43,592","47,456","46,728"
Lane,"50,701","55,942","56,188"
Lincoln,"49,063","53,680","53,494"
Linn,"47,621","51,999","52,469"
Malheur,"35,024","38,168","38,407"
Marion,"49,115","53,768","54,440"
Morrow,"49,571","51,624","55,080"
Multnomah,"62,954","69,829","69,954"
Polk,"45,753","49,620","50,295"
Sherman,"62,187","62,413","67,452"
Tillamook,"49,630","54,306","54,639"
Umatilla,"44,746","48,257","49,149"
Union,"45,817","48,736","48,999"
Wallowa,"48,091","52,995","52,699"
Wasco,"48,163","52,440","52,093"
Washington,"67,693","71,530","73,380"
Wheeler,"39,867","41,160","43,062"
Yamhill,"50,987","55,923","56,563"
,,,
Pennsylvania,"60,320","64,042","64,506"
Adams,"53,258","55,818","55,597"
Allegheny,"66,014","70,137","70,837"
Armstrong,"49,947","53,745","54,352"
Beaver,"52,557","55,306","54,812"
Bedford,"45,877","49,928","49,468"
Berks,"54,418","58,311","58,199"
Blair,"50,853","55,162","55,101"
Bradford,"45,479","48,065","48,206"
Bucks,"78,810","84,470","86,770"
Butler,"63,279","68,368","69,129"
Cambria,"46,250","48,961","47,971"
Cameron,"50,652","51,780","50,557"
Carbon,"59,495","60,293","58,626"
Centre,"52,013","55,107","54,686"
Chester,"92,175","97,652","101,051"
Clarion,"45,983","47,622","46,458"
Clearfield,"49,015","53,767","52,265"
Clinton,"45,851","46,713","45,878"
Columbia,"47,526","50,403","49,854"
Crawford,"45,727","48,478","47,732"
Cumberland,"60,871","64,472","65,105"
Dauphin,"54,891","58,362","57,717"
Delaware,"70,945","76,589","78,228"
Elk,"50,253","50,850","50,208"
Erie,"50,179","52,048","51,396"
Fayette,"46,421","49,601","48,259"
Forest,"28,022","28,672","28,009"
Franklin,"51,296","55,125","55,212"
Fulton,"47,687","49,404","48,013"
Greene,"47,271","49,233","49,645"
Huntingdon,"43,617","45,915","45,049"
Indiana,"44,250","46,832","45,599"
Jefferson,"46,457","48,436","47,629"
Juniata,"52,142","56,770","56,651"
Lackawanna,"51,659","54,823","54,607"
Lancaster,"57,816","61,775","63,044"
Lawrence,"48,169","51,655","50,674"
Lebanon,"52,362","55,937","56,207"
Lehigh,"58,875","62,366","62,879"
Luzerne,"48,544","51,638","50,618"
Lycoming,"48,046","50,730","49,869"
McKean,"47,604","49,211","48,797"
Mercer,"45,553","48,579","47,857"
Mifflin,"43,457","46,297","46,121"
Monroe,"48,872","51,931","52,643"
Montgomery,"86,337","90,513","93,666"
Montour,"60,469","64,648","66,122"
Northampton,"60,074","62,610","63,828"
Northumberland,"45,991","48,053","47,650"
Perry,"50,775","54,562","54,026"
Philadelphia,"54,887","57,731","56,764"
Pike,"53,568","55,706","57,038"
Potter,"46,835","50,979","48,379"
Schuylkill,"46,399","49,312","48,634"
Snyder,"46,804","51,131","51,750"
Somerset,"45,706","48,880","47,622"
Sullivan,"52,766","55,929","56,066"
Susquehanna,"51,951","57,016","58,898"
Tioga,"43,893","46,432","45,977"
Union,"48,155","50,578","51,089"
Venango,"46,659","49,658","48,663"
Warren,"46,564","49,258","49,117"
Washington,"60,909","66,042","66,276"
Wayne,"49,683","53,475","53,076"
Westmoreland,"56,226","59,765","59,493"
Wyoming,"52,115","54,394","54,361"
York,"54,395","57,656","57,321"
,,,
Rhode Island,"59,066","63,663","63,557"
Bristol,"79,886","86,753","88,954"
Kent,"62,462","66,746","67,068"
Newport,"76,435","82,984","84,484"
Providence,"51,528","55,384","54,527"
Washington,"73,351","79,691","81,104"
,,,
South Carolina,"48,772","52,828","53,618"
Abbeville,"38,062","40,219","39,840"
Aiken,"47,964","51,458","51,601"
Allendale,"40,125","40,888","40,632"
Anderson,"43,736","47,164","47,693"
Bamberg,"38,277","40,052","39,991"
Barnwell,"38,419","40,096","39,193"
Beaufort,"65,026","70,506","72,142"
Berkeley,"45,077","49,582","50,686"
Calhoun,"45,637","50,139","49,648"
Charleston,"68,698","73,838","76,546"
Cherokee,"36,399","39,073","38,740"
Chester,"38,523","41,348","41,411"
Chesterfield,"35,858","39,243","39,008"
Clarendon,"41,738","45,667","45,300"
Colleton,"38,817","42,253","42,030"
Darlington,"43,632","46,986","47,707"
Dillon,"35,469","39,685","39,114"
Dorchester,"43,292","46,857","47,775"
Edgefield,"45,006","48,960","49,139"
Fairfield,"44,865","49,145","50,074"
Florence,"46,728","51,183","52,035"
Georgetown,"51,911","56,852","57,180"
Greenville,"52,076","55,755","56,653"
Greenwood,"41,388","43,953","43,776"
Hampton,"37,936","40,594","40,380"
Horry,"44,013","47,592","46,995"
Jasper,"38,895","42,070","41,144"
Kershaw,"46,383","51,601","52,782"
Lancaster,"51,515","53,048","55,065"
Laurens,"39,308","42,450","42,725"
Lee,"37,488","41,315","40,955"
Lexington,"52,224","55,915","57,076"
McCormick,"42,518","44,265","46,096"
Marion,"37,566","41,176","41,108"
Marlboro,"34,500","38,444","37,831"
Newberry,"42,903","46,911","47,464"
Oconee,"48,315","53,299","54,415"
Orangeburg,"38,634","42,145","41,090"
Pickens,"41,165","45,228","45,835"
Richland,"48,969","53,387","53,963"
Saluda,"39,283","43,990","43,883"
Spartanburg,"47,726","52,220","52,621"
Sumter,"42,588","46,605","46,582"
Union,"36,030","38,427","38,157"
Williamsburg,"36,874","39,668","38,446"
York,"51,878","56,774","58,987"
,,,
South Dakota,"59,465","65,421","68,176"
Aurora,"47,701","54,747","58,948"
Beadle,"51,511","56,759","58,281"
Bennett,"40,912","44,351","48,569"
Bon Homme,"42,858","47,770","54,418"
Brookings,"50,774","54,831","56,045"
Brown,"61,042","67,695","71,674"
Brule,"51,993","60,387","64,369"
Buffalo,"26,513","33,505","35,370"
Butte,"43,821","46,801","47,783"
Campbell,"67,793","82,295","81,416"
Charles Mix,"46,046","51,013","54,004"
Clark,"65,478","73,698","76,807"
Clay,"40,410","44,920","48,546"
Codington,"55,496","64,240","67,583"
Corson,"33,390","39,646","41,392"
Custer,"56,408","61,527","62,654"
Davison,"55,051","59,766","62,232"
Day,"61,335","67,018","71,544"
Deuel,"61,148","66,082","65,682"
Dewey,"50,834","54,997","54,444"
Douglas,"61,317","68,632","73,836"
Edmunds,"66,323","87,614","92,309"
Fall River,"49,928","53,899","54,586"
Faulk,"69,116","84,995","88,554"
Grant,"57,667","65,197","70,668"
Gregory,"52,466","57,815","60,858"
Haakon,"71,235","73,286","78,044"
Hamlin,"54,216","61,446","63,720"
Hand,"66,928","81,519","85,667"
Hanson,"68,446","74,030","78,530"
Harding,"46,341","57,502","51,414"
Hughes,"55,545","62,042","63,992"
Hutchinson,"54,776","64,844","73,183"
Hyde,"67,156","71,663","80,033"
Jackson,"37,338","40,827","44,228"
Jerauld,"57,534","65,770","73,021"
Jones,"56,973","84,385","79,312"
Kingsbury,"66,926","72,645","74,014"
Lake,"62,687","70,245","73,379"
Lawrence,"57,548","66,207","67,931"
Lincoln,"74,385","79,995","83,363"
Lyman,"47,267","54,459","57,855"
McCook,"58,470","67,588","73,362"
McPherson,"58,152","70,911","72,524"
Marshall,"74,712","71,189","74,536"
Meade,"48,892","52,087","53,401"
Mellette,"35,882","45,277","45,401"
Miner,"58,101","67,061","72,595"
Minnehaha,"64,774","69,839","71,922"
Moody,"59,321","66,348","66,475"
Oglala Lakota,"31,505","36,389","35,687"
Pennington,"60,280","66,694","69,134"
Perkins,"46,885","51,498","54,196"
Potter,"76,020","77,291","84,510"
Roberts,"45,269","50,263","52,261"
Sanborn,"61,718","59,390","63,968"
Spink,"71,730","81,013","86,870"
Stanley,"64,616","77,798","82,109"
Sully,"92,149","97,675","101,788"
Todd,"32,007","37,288","35,847"
Tripp,"55,324","61,145","65,722"
Turner,"55,270","65,085","70,953"
Union,"114,448","115,020","121,722"
Walworth,"53,109","61,497","62,647"
Yankton,"53,954","62,316","68,105"
Ziebach,"28,178","31,943","33,700"
,,,
Tennessee,"51,928","56,970","58,292"
Anderson,"46,708","51,064","51,436"
Bedford,"41,161","45,761","47,337"
Benton,"37,685","41,473","40,859"
Bledsoe,"30,342","34,055","34,832"
Blount,"48,265","52,513","53,332"
Bradley,"43,229","46,415","47,123"
Campbell,"38,958","42,248","42,051"
Cannon,"39,992","44,121","43,976"
Carroll,"37,516","41,212","40,544"
Carter,"37,193","40,624","40,378"
Cheatham,"49,323","53,463","55,260"
Chester,"38,354","40,924","40,686"
Claiborne,"38,886","41,767","42,082"
Clay,"33,658","39,096","41,427"
Cocke,"37,094","40,950","40,741"
Coffee,"43,257","46,640","46,910"
Crockett,"44,112","48,976","47,217"
Cumberland,"41,290","44,560","44,540"
Davidson,"73,177","81,145","85,551"
Decatur,"45,738","49,092","49,250"
DeKalb,"44,574","48,171","48,289"
Dickson,"46,622","50,306","51,658"
Dyer,"46,296","51,339","50,874"
Fayette,"64,094","71,259","73,510"
Fentress,"37,987","41,998","41,694"
Franklin,"42,717","46,207","46,514"
Gibson,"42,564","46,593","46,051"
Giles,"40,340","43,778","44,637"
Grainger,"38,037","42,480","42,408"
Greene,"39,424","42,233","42,279"
Grundy,"36,046","38,900","38,468"
Hamblen,"40,942","46,418","46,766"
Hamilton,"56,191","59,362","60,691"
Hancock,"30,571","33,214","31,828"
Hardeman,"32,653","36,175","34,765"
Hardin,"41,809","44,676","44,281"
Hawkins,"37,851","41,291","41,134"
Haywood,"36,314","40,537","37,528"
Henderson,"40,722","46,066","46,223"
Henry,"46,958","51,367","52,325"
Hickman,"38,085","42,155","42,564"
Houston,"36,373","39,183","39,189"
Humphreys,"41,009","44,149","44,563"
Jackson,"35,393","37,929","37,237"
Jefferson,"41,046","44,665","44,816"
Johnson,"35,469","38,619","38,528"
Knox,"55,991","62,028","63,494"
Lake,"26,406","32,861","30,404"
Lauderdale,"36,415","41,322","39,705"
Lawrence,"38,200","41,852","42,177"
Lewis,"39,322","41,660","41,666"
Lincoln,"44,003","48,689","48,759"
Loudon,"57,182","63,918","67,088"
McMinn,"40,593","43,378","43,418"
McNairy,"35,830","38,688","38,355"
Macon,"35,383","39,152","39,855"
Madison,"46,767","51,864","52,286"
Marion,"43,075","47,327","47,613"
Marshall,"43,068","47,337","48,222"
Maury,"47,663","51,733","52,957"
Meigs,"37,287","39,679","39,849"
Monroe,"38,398","42,035","41,401"
Montgomery,"45,830","49,203","48,938"
Moore,"45,421","47,524","48,630"
Morgan,"34,236","37,198","36,995"
Obion,"43,945","48,908","48,988"
Overton,"37,841","40,368","39,441"
Perry,"35,211","37,262","35,513"
Pickett,"42,626","41,894","41,868"
Polk,"36,703","39,928","40,771"
Putnam,"44,256","47,897","48,280"
Rhea,"39,648","43,419","43,403"
Roane,"46,477","49,794","50,192"
Robertson,"47,479","51,450","52,328"
Rutherford,"45,965","49,876","51,672"
Scott,"34,244","37,597","37,462"
Sequatchie,"41,663","45,420","46,061"
Sevier,"44,998","51,238","52,561"
Shelby,"53,335","58,844","58,736"
Smith,"43,693","47,245","48,048"
Stewart,"45,593","48,851","48,646"
Sullivan,"46,648","50,326","51,090"
Sumner,"54,958","59,811","62,345"
Tipton,"44,992","49,682","48,866"
Trousdale,"33,906","37,377","37,478"
Unicoi,"39,382","42,610","42,425"
Union,"36,698","40,895","40,862"
Van Buren,"34,050","36,458","35,966"
Warren,"38,857","42,017","41,807"
Washington,"47,932","52,468","53,392"
Wayne,"32,988","35,675","36,538"
Weakley,"40,290","45,338","45,738"
White,"37,583","41,579","41,483"
Williamson,"99,108","111,083","119,937"
Wilson,"55,070","62,361","65,138"
,,,
Texas,"55,118","60,548","62,586"
Anderson,"39,154","43,172","43,870"
Andrews,"48,757","51,683","54,323"
Angelina,"42,940","46,996","47,281"
Aransas,"57,014","62,258","64,072"
Archer,"58,110","60,443","62,096"
Armstrong,"61,888","59,930","58,556"
Atascosa,"42,201","46,328","45,800"
Austin,"56,360","60,773","61,630"
Bailey,"50,811","52,162","52,520"
Bandera,"55,187","58,537","59,272"
Bastrop,"39,579","43,681","44,607"
Baylor,"55,689","57,678","60,988"
Bee,"32,726","34,810","34,707"
Bell,"46,569","50,199","49,416"
Bexar,"47,970","52,141","52,583"
Blanco,"65,421","73,535","74,566"
Borden,"69,601","97,356","115,928"
Bosque,"47,547","51,979","52,462"
Bowie,"45,485","49,603","50,089"
Brazoria,"53,110","56,561","57,644"
Brazos,"43,706","46,708","47,576"
Brewster,"50,758","57,357","58,166"
Briscoe,"45,612","62,395","54,793"
Brooks,"40,074","42,697","42,727"
Brown,"43,177","46,510","46,833"
Burleson,"52,002","55,125","55,784"
Burnet,"56,988","63,580","64,561"
Caldwell,"37,542","40,204","40,393"
Calhoun,"59,787","64,039","66,526"
Callahan,"48,866","49,893","50,812"
Cameron,"33,704","38,001","37,325"
Camp,"44,912","48,478","50,195"
Carson,"47,460","56,869","47,777"
Cass,"43,615","46,496","47,273"
Castro,"78,962","84,491","86,577"
Chambers,"57,543","60,342","61,694"
Cherokee,"40,554","43,459","43,397"
Childress,"35,688","39,620","44,097"
Clay,"48,848","52,563","52,317"
Cochran,"42,496","56,713","40,047"
Coke,"49,756","50,657","51,161"
Coleman,"51,288","56,792","57,256"
Collin,"72,105","78,591","82,593"
Collingsworth,"47,506","54,313","46,489"
Colorado,"55,645","61,752","61,594"
Comal,"66,119","72,193","75,074"
Comanche,"47,991","50,164","53,063"
Concho,"35,459","38,290","37,247"
Cooke,"54,196","58,955","61,073"
Coryell,"35,066","37,621","36,504"
Cottle,"59,974","68,457","87,359"
Crane,"47,379","49,943","53,228"
Crockett,"59,564","60,362","62,104"
Crosby,"45,041","53,018","44,883"
Culberson,"65,571","70,000","82,056"
Dallam,"70,666","70,237","69,968"
Dallas,"66,044","72,668","75,585"
Dawson,"43,918","46,946","48,456"
Deaf Smith,"57,206","62,075","65,927"
Delta,"43,785","47,015","46,433"
Denton,"64,582","71,210","74,412"
DeWitt,"58,322","67,354","71,119"
Dickens,"46,042","48,896","47,900"
Dimmit,"50,405","52,710","53,857"
Donley,"46,749","47,498","46,854"
Duval,"45,067","47,811","47,149"
Eastland,"54,083","53,662","55,905"
Ector,"48,111","52,703","55,448"
Edwards,"72,083","70,578","66,179"
Ellis,"49,860","54,057","55,479"
El Paso,"40,186","44,118","44,198"
Erath,"45,726","48,295","50,567"
Falls,"39,816","42,966","42,198"
Fannin,"43,343","46,923","47,129"
Fayette,"62,179","69,185","70,239"
Fisher,"49,344","57,105","53,908"
Floyd,"43,920","53,180","45,025"
Foard,"55,787","61,691","69,100"
Fort Bend,"63,655","67,436","70,390"
Franklin,"47,590","51,396","57,593"
Freestone,"40,900","44,800","44,999"
Frio,"35,350","38,827","37,455"
Gaines,"46,496","48,319","46,925"
Galveston,"56,203","59,671","61,246"
Garza,"31,475","32,543","32,823"
Gillespie,"77,886","81,855","84,525"
Glasscock,"110,024","125,020","122,894"
Goliad,"52,791","56,184","57,304"
Gonzales,"50,846","57,880","66,727"
Gray,"45,822","46,404","46,626"
Grayson,"48,865","52,873","53,393"
Gregg,"50,722","54,584","55,961"
Grimes,"40,137","43,056","42,212"
Guadalupe,"49,507","53,556","53,788"
Hale,"39,342","42,482","41,725"
Hall,"38,826","49,651","39,174"
Hamilton,"64,596","62,424","64,110"
Hansford,"69,987","77,853","78,201"
Hardeman,"50,670","53,464","56,738"
Hardin,"51,383","53,392","54,635"
Harris,"59,099","66,140","69,154"
Harrison,"44,622","47,757","48,480"
Hartley,"81,718","82,805","89,126"
Haskell,"48,248","53,258","50,550"
Hays,"52,159","57,467","60,097"
Hemphill,"70,584","70,226","74,044"
Henderson,"45,327","48,619","49,177"
Hidalgo,"31,310","34,614","33,525"
Hill,"45,671","49,614","49,859"
Hockley,"46,852","50,008","48,167"
Hood,"58,990","62,066","63,641"
Hopkins,"45,929","50,455","53,470"
Houston,"45,398","49,612","50,323"
Howard,"48,420","53,212","56,531"
Hudspeth,"36,475","37,386","35,317"
Hunt,"44,183","47,619","47,938"
Hutchinson,"45,833","48,035","47,553"
Irion,"70,968","75,708","80,335"
Jack,"42,606","46,142","46,241"
Jackson,"48,159","51,585","48,635"
Jasper,"46,945","50,477","51,346"
Jeff Davis,"53,345","58,390","59,491"
Jefferson,"45,227","47,792","48,131"
Jim Hogg,"37,860","41,533","40,561"
Jim Wells,"44,567","48,106","48,093"
Johnson,"48,150","51,845","52,837"
Jones,"35,654","39,341","39,944"
Karnes,"62,728","77,707","81,179"
Kaufman,"47,174","50,826","52,659"
Kendall,"102,177","102,056","106,508"
Kenedy,"49,464","41,424","38,232"
Kent,"49,520","55,115","63,719"
Kerr,"58,308","62,829","64,198"
Kimble,"50,216","55,154","54,393"
King,"82,906","87,145","113,494"
Kinney,"39,836","41,530","40,805"
Kleberg,"41,018","45,409","45,342"
Knox,"48,131","51,290","51,914"
Lamar,"46,823","51,267","51,725"
Lamb,"50,438","54,245","55,408"
Lampasas,"55,601","60,110","59,799"
La Salle,"44,009","49,123","51,175"
Lavaca,"59,998","63,657","65,573"
Lee,"55,117","58,043","57,356"
Leon,"49,205","54,423","56,807"
Liberty,"40,350","41,917","42,422"
Limestone,"43,080","47,639","46,998"
Lipscomb,"96,425","108,653","116,640"
Live Oak,"43,057","46,342","46,246"
Llano,"56,195","62,609","64,044"
Loving,"108,092","123,456","141,373"
Lubbock,"48,140","51,876","52,437"
Lynn,"43,486","59,918","50,883"
McCulloch,"43,494","47,871","47,915"
McLennan,"45,756","49,932","50,284"
McMullen,"80,793","107,174","118,594"
Madison,"37,461","41,268","41,086"
Marion,"44,415","48,523","49,638"
Martin,"82,164","91,729","98,858"
Mason,"54,643","56,246","54,945"
Matagorda,"47,632","51,024","50,360"
Maverick,"35,612","38,647","38,524"
Medina,"46,478","50,021","50,032"
Menard,"47,392","47,602","46,018"
Midland,"106,959","124,672","145,089"
Milam,"41,269","46,159","46,561"
Mills,"50,337","52,391","51,682"
Mitchell,"33,860","36,833","37,064"
Montague,"43,696","47,049","46,232"
Montgomery,"68,909","71,933","76,043"
Moore,"50,518","55,718","58,176"
Morris,"44,245","47,308","49,265"
Motley,"40,468","38,819","40,718"
Nacogdoches,"42,111","46,195","48,815"
Navarro,"41,794","45,353","45,130"
Newton,"40,983","43,218","43,629"
Nolan,"46,611","52,478","51,887"
Nueces,"48,777","54,159","55,720"
Ochiltree,"54,218","62,826","60,268"
Oldham,"70,930","74,449","76,667"
Orange,"47,175","49,472","50,170"
Palo Pinto,"47,443","51,733","51,742"
Panola,"48,618","53,383","56,986"
Parker,"61,523","67,169","69,926"
Parmer,"58,081","64,238","67,989"
Pecos,"40,086","43,092","44,746"
Polk,"45,282","48,165","47,150"
Potter,"50,672","55,586","56,298"
Presidio,"54,319","58,195","57,437"
Rains,"39,597","41,894","41,104"
Randall,"53,164","56,767","57,896"
Reagan,"55,752","61,215","65,247"
Real,"54,151","57,304","57,873"
Red River,"48,432","52,208","53,452"
Reeves,"47,834","57,562","61,533"
Refugio,"48,868","54,376","54,380"
Roberts,"52,878","54,883","54,010"
Robertson,"48,082","52,179","53,842"
Rockwall,"68,067","71,774","75,860"
Runnels,"47,035","50,917","51,902"
Rusk,"42,480","44,326","45,701"
Sabine,"41,763","46,167","46,247"
San Augustine,"45,981","51,754","57,147"
San Jacinto,"42,099","44,957","44,653"
San Patricio,"48,088","51,096","50,872"
San Saba,"43,148","43,304","42,336"
Schleicher,"51,491","52,201","55,694"
Scurry,"45,003","46,933","48,508"
Shackelford,"84,296","99,776","105,536"
Shelby,"48,508","55,952","65,464"
Sherman,"101,691","127,917","103,517"
Smith,"55,450","63,074","66,784"
Somervell,"52,019","56,820","58,361"
Starr,"30,393","33,336","31,643"
Stephens,"44,096","46,027","46,860"
Sterling,"60,295","64,415","66,779"
Stonewall,"74,359","86,199","88,796"
Sutton,"67,518","68,815","69,018"
Swisher,"60,225","72,194","71,381"
Tarrant,"53,863","60,489","61,962"
Taylor,"49,851","54,611","55,572"
Terrell,"55,032","58,526","60,140"
Terry,"42,231","45,150","43,143"
Throckmorton,"45,123","66,334","46,683"
Titus,"42,403","48,252","51,901"
Tom Green,"55,966","60,826","63,022"
Travis,"72,771","82,012","85,930"
Trinity,"43,908","46,329","46,390"
Tyler,"39,647","43,240","42,946"
Upshur,"41,057","44,285","45,279"
Upton,"55,649","62,686","71,755"
Uvalde,"48,304","53,242","52,767"
Val Verde,"42,826","47,393","47,904"
Van Zandt,"42,250","45,400","45,722"
Victoria,"53,497","57,490","59,030"
Walker,"31,270","33,637","33,631"
Waller,"47,528","50,441","51,670"
Ward,"49,012","54,995","58,879"
Washington,"61,115","70,320","73,301"
Webb,"37,015","41,051","40,873"
Wharton,"48,622","53,381","51,481"
Wheeler,"46,679","48,644","47,189"
Wichita,"47,084","50,339","50,979"
Wilbarger,"55,374","55,610","56,057"
Willacy,"32,989","37,424","34,925"
Williamson,"57,774","63,679","67,083"
Wilson,"51,867","56,138","56,660"
Winkler,"59,453","62,196","67,488"
Wise,"50,815","54,460","55,410"
Wood,"44,893","47,784","48,899"
Yoakum,"47,894","49,937","49,438"
Young,"54,030","60,276","63,031"
Zapata,"29,864","33,132","33,076"
Zavala,"39,470","42,985","43,549"
,,,
Utah,"51,751","57,042","59,457"
Beaver,"39,979","44,453","47,664"
Box Elder,"41,826","44,844","46,425"
Cache,"43,024","48,424","48,469"
Carbon,"43,193","45,530","45,308"
Daggett,"49,489","49,178","46,786"
Davis,"50,348","55,832","58,147"
Duchesne,"41,488","44,453","45,820"
Emery,"38,448","38,943","39,565"
Garfield,"42,745","50,778","55,775"
Grand,"61,995","67,136","69,962"
Iron,"36,491","39,157","39,616"
Juab,"43,862","47,768","49,197"
Kane,"46,337","51,988","51,164"
Millard,"40,580","44,325","47,223"
Morgan,"60,155","64,614","68,196"
Piute,"48,292","47,928","65,332"
Rich,"42,525","44,091","45,226"
Salt Lake,"57,292","63,558","66,326"
San Juan,"32,504","34,247","35,597"
Sanpete,"36,828","39,845","42,023"
Sevier,"39,552","42,438","43,272"
Summit,"164,349","205,410","225,996"
Tooele,"41,853","44,851","46,657"
Uintah,"33,216","35,348","36,463"
Utah,"47,183","51,103","53,812"
Wasatch,"68,334","76,488","82,840"
Washington,"45,360","49,425","50,746"
Wayne,"48,926","50,133","50,646"
Weber,"46,020","49,498","51,138"
,,,
Vermont,"57,978","61,214","63,039"
Addison,"55,761","59,842","62,065"
Bennington,"55,683","58,412","60,136"
Caledonia,"47,803","50,256","50,508"
Chittenden,"63,772","67,969","70,571"
Essex,"43,793","45,679","45,397"
Franklin,"52,041","54,588","55,989"
Grand Isle,"64,887","68,680","71,245"
Lamoille,"57,739","61,461","64,041"
Orange,"52,909","55,304","56,029"
Orleans,"49,897","52,213","53,215"
Rutland,"54,826","56,441","58,596"
Washington,"64,276","67,021","69,232"
Windham,"53,101","55,590","56,923"
Windsor,"62,220","66,958","67,971"
,,,
Virginia,"61,474","66,838","68,985"
Accomack,"50,924","56,453","54,153"
Amelia,"46,030","50,324","52,977"
Amherst,"40,998","44,049","44,723"
Appomattox,"41,929","45,438","45,951"
Arlington,"97,751","108,980","112,313"
Bath,"69,736","69,468","74,728"
Bedford,"50,096","53,650","54,837"
Bland,"39,111","42,162","42,629"
Botetourt,"55,106","57,273","59,504"
Brunswick,"36,672","40,267","41,082"
Buchanan,"39,621","43,165","45,289"
Buckingham,"33,515","37,026","37,877"
Caroline,"47,241","50,548","51,500"
Charles City,"54,205","56,703","57,151"
Charlotte,"39,367","44,074","45,263"
Chesterfield,"58,219","62,033","64,035"
Clarke,"69,063","75,346","77,961"
Craig,"42,970","46,315","47,392"
Culpeper,"51,440","54,266","55,962"
Cumberland,"40,805","45,265","46,446"
Dickenson,"37,129","40,480","41,038"
Essex,"47,869","51,462","51,690"
Fauquier,"74,288","79,392","82,872"
Floyd,"43,639","47,556","48,912"
Fluvanna,"48,349","52,434","53,333"
Franklin,"47,157","50,783","52,577"
Giles,"42,845","48,074","49,522"
Gloucester,"52,246","56,313","57,498"
Goochland,"99,944","110,612","116,296"
Grayson,"35,067","37,923","38,942"
Greene,"46,174","50,185","51,629"
Halifax,"39,536","43,237","44,509"
Hanover,"65,092","69,263","72,302"
Henrico,"69,268","74,225","76,976"
Highland,"44,320","48,161","50,481"
Isle of Wight,"57,943","62,139","63,847"
King and Queen,"51,156","54,839","55,304"
King George,"58,946","62,938","64,018"
King William,"49,700","53,554","54,612"
Lancaster,"64,049","69,654","72,524"
Lee,"34,875","37,809","38,552"
Loudoun,"85,393","92,163","96,862"
Louisa,"46,650","50,390","50,730"
Lunenburg,"36,381","39,493","38,986"
Madison,"51,376","55,251","56,535"
