State,County,Latitude,Longitude,AQI
Louisiana,Tangipahoa,30.6266,-90.4057,31
Louisiana,Terrebonne,29.4148,-90.8663,30
Louisiana,West Baton Rouge,30.4636,-91.3127,39
Maine,Androscoggin,44.1658,-70.2065,31
Maine,Aroostook,46.6589,-68.5989,33
Maine,Cumberland,43.8465,-70.399,36
Maine,Hancock,44.6643,-68.3585,38
Maine,Kennebec,44.4091,-69.7673,31
Maine,Knox,44.141,-69.1686,35
Maine,Oxford,44.4999,-70.7566,31
Maine,Penobscot,45.4006,-68.6495,33
Maine,Sagadahoc,43.9598,-69.8546,33
Maine,Washington,45.0307,-67.6287,35
Maine,York,43.4782,-70.7144,38
Maryland,Anne Arundel,39.0065,-76.6051,40
Maryland,Baltimore,39.4627,-76.6393,37
Maryland,Baltimore,39.3051,-76.6144,37
Maryland,Baltimore (City),,,42
Maryland,Calvert,38.5434,-76.5687,40
Maryland,Carroll,39.5629,-77.0225,42
Maryland,Cecil,39.5712,-75.9407,42
Maryland,Charles,38.5073,-76.9922,42
Maryland,Dorchester,38.4829,-76.0125,41
Maryland,Frederick,39.4722,-77.398,42
Maryland,Garrett,39.5289,-79.2729,39
Maryland,Harford,39.5611,-76.3171,43
Maryland,Howard,39.2507,-76.9312,31
Maryland,Kent,39.2545,-76.0399,40
Maryland,Montgomery,39.1363,-77.2042,44
Maryland,Prince George's,38.8295,-76.8473,41
Maryland,Washington,39.6036,-77.814,40
Massachusetts,Barnstable,41.7244,-70.2904,38
Massachusetts,Berkshire,42.3707,-73.2063,40
Massachusetts,Bristol,41.7972,-71.1144,39
Massachusetts,Dukes,41.3961,-70.6501,39
Massachusetts,Essex,42.6732,-70.952,38
Massachusetts,Franklin,42.5831,-72.5918,38
Massachusetts,Hampden,42.1351,-72.6316,39
Massachusetts,Hampshire,42.3402,-72.6638,40
Massachusetts,Middlesex,42.4856,-71.3918,38
Massachusetts,Norfolk,42.1605,-71.2115,41
Massachusetts,Plymouth,41.9512,-70.8114,40
Massachusetts,Suffolk,42.3333,-71.0719,36
Massachusetts,Worcester,42.3514,-71.9077,42
Michigan,Allegan,42.5913,-85.8884,38
Michigan,Bay,43.7074,-83.9922,19
Michigan,Benzie,44.6387,-86.0155,39
Michigan,Berrien,41.9547,-86.4123,41
Michigan,Cass,41.9154,-85.9935,41
Michigan,Clinton,42.9437,-84.6015,40
Michigan,Genesee,43.0217,-83.7067,40
Michigan,Huron,43.8333,-83.019,37
Michigan,Ingham,42.5971,-84.3735,39
Michigan,Kalamazoo,42.2455,-85.5312,43
Michigan,Kent,43.0322,-85.5493,41
Michigan,Lenawee,41.8951,-84.0664,39
Michigan,Macomb,42.6957,-82.9323,41
Michigan,Manistee,44.333,-86.0568,38
Michigan,Mason,43.9952,-86.25,38
Michigan,Missaukee,44.3374,-85.0947,40
Michigan,Monroe,41.9291,-83.5394,27
Michigan,Muskegon,43.2912,-86.152,39
Michigan,Oakland,42.6604,-83.3858,37
Michigan,Ottawa,42.9598,-85.9961,39
Michigan,Schoolcraft,46.1966,-86.1996,36
Michigan,St. Clair,42.9341,-82.6806,39
Michigan,Tuscola,43.4641,-83.4167,37
Michigan,Washtenaw,42.2532,-83.8388,40
Michigan,Wayne,42.2819,-83.2822,54
Michigan,Wexford,44.3383,-85.5784,38
Minnesota,Anoka,45.2733,-93.2465,41
Minnesota,Becker,46.9346,-95.674,38
Minnesota,Beltrami,47.9738,-94.9377,28
Minnesota,Carlton,46.5924,-92.677,30
Minnesota,Cass,46.9496,-94.3254,23
Minnesota,Cook,47.9026,-90.535,5
Minnesota,Crow Wing,46.4825,-94.0709,37
Minnesota,Dakota,44.6719,-93.0654,23
Minnesota,Goodhue,44.4097,-92.7229,41
Minnesota,Hennepin,45.0045,-93.477,37
Minnesota,Lake,47.641,-91.4458,37
Minnesota,Lyon,44.4135,-95.839,38
Minnesota,Mille Lacs,45.938,-93.6301,39
Minnesota,Olmsted,44.0038,-92.4018,38
Minnesota,Ramsey,45.0171,-93.0996,27
Minnesota,Saint Louis,,,37
Minnesota,Scott,44.6485,-93.5359,38
Minnesota,Stearns,45.5521,-94.613,38
Minnesota,Washington,45.0388,-92.8838,40
Minnesota,Wright,45.1739,-93.9631,39
Mississippi,Bolivar,33.7971,-90.8805,39
Mississippi,DeSoto,34.8753,-89.9912,40
Mississippi,Forrest,31.1889,-89.2579,37
Mississippi,Hancock,30.416,-89.4885,38
Mississippi,Harrison,30.5122,-89.1161,39
Mississippi,Hinds,32.2667,-90.4428,43
Mississippi,Jackson,30.5423,-88.6357,39
Mississippi,Lauderdale,32.4043,-88.6625,36
Mississippi,Lee,34.2899,-88.6804,40
Mississippi,Yalobusha,34.0282,-89.7076,35
Missouri,Andrew,39.9835,-94.8021,43
Missouri,Boone,38.9906,-92.3097,40
Missouri,Buchanan,39.6598,-94.8059,29
Missouri,Callaway,38.8355,-91.926,41
Missouri,Cass,38.647,-94.3549,38
Missouri,Cedar,37.7238,-93.8566,39
